Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
2026-06-26 10:05:08  | BTC  | UP   | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:05AM-6:10AM ET    
2026-06-26 10:05:08  | ETH  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:10:18  | SOL  | UP   | 0.7189     | 0.7189 | EnsembleML      | N/A                  | Solana Up or Down - June 26, 6:10AM-6:15AM ET     
2026-06-26 10:15:17  | SOL  | UP   | 0.5975     | 0.5975 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:20:07  | DOGE | UP   | 0.6800     | 0.6800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:20:08  | BTC  | UP   | 0.6000     | 0.6000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:20:09  | SOL  | UP   | 0.7500     | 0.7500 | EnsembleML      | N/A                  | Solana Up or Down - June 26, 6:20AM-6:25AM ET     
2026-06-26 10:25:08  | DOGE | UP   | 0.7000     | 0.7000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:25:08  | BTC  | UP   | 0.7500     | 0.7500 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:25AM-6:30AM ET    
2026-06-26 10:25:08  | SOL  | UP   | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:30:09  | DOGE | UP   | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:30:09  | DOGE | UP   | 0.8300     | 0.8300 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:30:09  | BTC  | UP   | 0.7200     | 0.7200 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:30AM-6:45AM ET    
2026-06-26 10:30:09  | XRP  | UP   | 0.8267     | 0.8267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:30:17  | ETH  | UP   | 0.7200     | 0.7200 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 6:30AM-6:45AM ET   
2026-06-26 10:30:17  | SOL  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:30:25  | BTC  | UP   | 0.7000     | 0.7000 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:30AM-6:35AM ET    
2026-06-26 10:40:09  | DOGE | UP   | 0.8800     | 0.8800 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 26, 6:40AM-6:45AM ET   
2026-06-26 10:40:09  | BTC  | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:40:50  | SOL  | DOWN | 0.8700     | 0.8700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
